0.08  3.6  45  12  1.4e+02
0.08  3.4  43  10  1e+02
0.08  3  38  5  25
0.08  2.8  35  2  4
0.08  2.5  31  -2  4
0.08  2.2  28  -5  25
0.08  1.9  24  -9  81
0.08  1.7  21  -12  1.4e+02
sum = 2.6e+02 sum(^2) = 5.2e+02
33
7.3
9.8e+03
2.2e+03
