0.13 -2
0.23 -1.5
0.42 -0.87
0.69 -0.37
1.1 0.095
1.8 0.59
2.6 0.96
3.5 1.3
5 1.6
6.6 1.9
8.5 2.1
11 2.4
13 2.6
16 2.8
18 2.9
20 3
